,Ticker,Performance
0,A,0.7640047675804529
1,A,0.3733108108108107
2,A,-0.15236907730673316
3,A,0.1852949896234806
4,A,0.4162148841793987
5,A,-0.28956053500086854
6,A,-0.008941517641372753
7,A,0.12935077758578134
8,A,0.4821857923497268
9,A,-0.033920900607317526
10,A,0.2805668626564149
11,AA,0.2836017956165831
12,AA,-0.35259384226064955
13,AA,-0.5231270358306188
14,AAL,0.7663716814159292
15,AAL,-0.1280788177339902
16,AAL,0.6508287292817678
17,AAL,1.1409774436090225
18,AAL,0.3348103018554418
19,AAL,-0.20545808966861598
20,AAL,0.15992003998000995
21,AAL,0.14494623655913982
22,AAL,-0.3267898383371825
23,AAL,-0.28335664335664335
24,AAMC,-0.782324182023317
25,AAMC,-0.9077214846924953
26,AAMC,3.0069084628670115
27,AAMC,-0.038569424964936885
28,AAMC,-0.45776805251641134
29,AAMC,-0.4759259259259259
30,AAOI,-0.20202020202020202
31,AAOI,0.2476534296028882
32,AAOI,1.8782014797951052
33,AAOI,-0.46510297482837526
34,AAOI,-0.45992020311933257
35,AAOI,-0.3894173602853746
36,AAON,-0.11049723756906077
37,AAON,0.33451118963486454
38,AAON,0.5992939099735217
39,AAON,0.14614205416453752
40,AAON,0.05136842105263153
41,AAON,0.5249780893952671
42,AAON,0.08000000000000004
43,AAON,0.16016830294530157
44,AAON,0.3717073170731708
45,AAP,0.5106228874939642
46,AAP,0.36577234481663756
47,AAP,-0.08597445600756855
48,AAP,0.5937578655927512
49,AAP,0.23578648136449779
50,AAP,-0.01898449063646302
51,AAP,0.05783084311632882
52,AAP,-0.28867900282703673
53,AAP,0.42108413132694955
54,AAP,-0.1672453363149533
55,AAPL,1.3116883116883116
56,AAPL,-0.43602693602693604
57,AAPL,0.7660668380462725
58,AAPL,0.5185694635488308
59,AAPL,0.32484076433121023
60,AAPL,0.5428571428571429
61,AAPL,-0.11764705882352941
62,AAPL,0.44073275862068967
63,AAPL,0.10072491415490273
64,AAPL,-0.013000342114266131
65,AAPL,0.37543736878936335
66,AAPL,0.17425287356321836
67,AAPL,0.2580266249021145
68,AAWW,-0.16385582010582006
69,AAWW,0.03504880212954743
70,AAWW,-0.3312765957446809
71,AAWW,0.38445867287543656
72,AAWW,-0.24541815883716028
73,AAWW,0.3623737373737374
74,AAWW,0.24204435872709748
75,AAWW,0.027758620689655164
76,AAWW,-0.5174459176552687
77,ABAX,0.17583988563259464
78,ABAX,0.3694493783303729
79,ABAX,-0.06441850410722
80,ABAX,0.016152716593245145
81,ABAX,0.007431874483897594
82,ABAX,-0.044422110552763835
83,ABAX,0.6873096446700506
84,ABBV,0.34929421533351773
85,ABBV,0.18757236588189885
86,ABBV,-0.08287200134205666
87,ABBV,0.13467889908256886
88,ABBV,0.9129021774455639
89,ABBV,-0.3013972055888224
90,ABBV,0.07549288744696778
91,ABC,0.6357142857142858
92,ABC,0.21834061135371177
93,ABC,0.17893030794165302
94,ABC,0.1151216844407985
95,ABC,0.7141816415735796
96,ABC,0.27483396919598707
97,ABC,0.0995113282985339
98,ABC,-0.2046658516707417
99,ABC,0.015361178113495088
100,ABC,0.1373506360015418
101,ABC,-0.02898389783453636
102,ABCD,-0.15320334261838436
103,ABCD,-0.6224489795918366
104,ABCD,0.41791044776119424
105,ABCD,0.43564356435643564
106,ABCD,0.03648068669527895
107,ABCD,1.0020833333333332
108,ABEO,-0.8048780487804879
109,ABG,0.3724653148345785
110,ABG,0.39800000000000013
111,ABG,0.4028612303290414
112,ABG,0.6214642262895174
113,ABG,-0.2966360856269113
114,ABG,0.3148219814241487
115,ABG,-0.006574141709276886
116,ABG,0.029538904899135403
117,ABG,0.22083916083916091
118,ABIO,-0.25641025641025644
119,ABIO,-0.6456043956043956
120,ABIO,-0.3347222222222222
121,ABIO,-0.2679558011049723
122,ABIO,-0.7553376906318083
123,ABIO,-0.36731107205623903
124,ABIO,-0.5891203703703705
125,ABM,0.26599808978032474
126,ABM,-0.21200750469043148
127,ABM,-0.041904761904761854
128,ABM,0.3594288527818809
129,ABM,0.030954115076474793
130,ABM,0.04481893151667264
131,ABM,0.3634179821551131
132,ABM,-0.05813385442110395
133,ABM,-0.224585062240664
134,ABM,0.24484536082474231
135,ABMD,0.09613259668508278
136,ABMD,0.1172555043522785
137,ABMD,-0.023657870791628732
138,ABMD,1.8574091332712022
139,ABMD,0.6113829093281148
140,ABMD,0.3646786684099365
141,ABMD,1.9326830710116008
142,ABMD,-0.33621929979554227
143,ABMD,-0.24846299810246678
144,ABT,-0.03475316342897884
145,ABT,0.009074074074074111
146,ABT,-0.15324344023323622
147,ABT,0.2161345987920622
148,ABT,-0.3845335225257183
149,ABT,0.11825487944890921
150,ABT,0.21733539094650192
151,ABT,-0.17144060657118773
152,ABT,0.165187891440501
153,ABT,0.3511433099388725
154,ABT,0.26446837146702556
155,ABT,0.13404114134041153
156,ABTL,-0.2195121951219513
157,ABTL,0.10674157303370783
158,ABTL,2.764705882352941
159,ABTL,0.27908937605396295
160,ABTL,0.7593632958801497
161,ABTL,-0.2992992992992993
162,ABTL,-0.6882043576258452
163,ABTL,0.33333333333333326
164,ABTL,-0.45700245700245706
165,ABUS,-0.3324937027707809
166,ABUS,0.4193548387096775
167,ABUS,-0.2704761904761905
168,ABUS,-0.19154228855721384
169,AC,0.44268774703557306
170,AC,-0.05989583333333326
171,AC,0.18181818181818193
172,AC,-0.10282485875706208
173,ACA,0.517968210089841
174,ACAD,-0.13114754098360654
175,ACAD,3.2105263157894743
176,ACAD,3.2655279503105583
